,handle,solvedCount,class,tier,ratingByProblemsSum,university
1900,bjh4498,225,2,11,710,경북대학교
1901,r2asp3,78,3,11,716,경북대학교
1902,dhtmddn00,78,4,11,665,경북대학교
1903,mhn03148,262,2,11,693,경북대학교
1904,ehtjsv2,169,3,11,663,경북대학교
1905,victory79,109,1,11,763,경북대학교
1906,katack8313,191,2,11,700,경북대학교
1907,ssong1940,174,2,11,702,경북대학교
1908,kimdo331,192,2,11,687,경북대학교
1909,hcj0703,175,3,11,635,경북대학교
1910,been0874,87,0,11,774,경북대학교
1911,z2woo,108,3,11,663,경북대학교
1912,zennnooo,191,2,11,673,경북대학교
1913,tigro0115,106,3,11,658,경북대학교
1914,poi933,120,2,11,697,경북대학교
1915,tiforp,186,2,11,668,경북대학교
1916,bin7665,149,2,11,676,경북대학교
1917,crihit98,116,1,11,712,경북대학교
1918,fairy_of_9,100,0,11,743,경북대학교
1919,yghun021007,219,2,11,644,경북대학교
1920,hendel95,112,1,11,703,경북대학교
1921,ospac1,134,2,11,664,경북대학교
1922,nkm0387,161,2,10,630,경북대학교
1923,popinpong,205,1,10,640,경북대학교
1924,xptmffk816,174,2,10,621,경북대학교
1925,roy052,173,2,10,613,경북대학교
1926,krokerdile,139,2,10,619,경북대학교
1927,greatgalaxy,111,3,10,581,경북대학교
1928,ljj7121,75,1,10,655,경북대학교
1929,donggwon,142,2,10,594,경북대학교
1930,pkpk5087,101,0,10,663,경북대학교
1931,kkklim1121,73,0,10,678,경북대학교
1932,1herjs1,125,1,10,625,경북대학교
1933,kise912,96,1,10,627,경북대학교
1934,cocoquiet,147,2,10,577,경북대학교
1935,dolphin0731,150,2,10,574,경북대학교
1936,papajohns,72,0,10,659,경북대학교
1937,gyg419,187,2,10,554,경북대학교
1938,minsue9608,119,1,10,596,경북대학교
1939,rldud1237,263,2,10,521,경북대학교
1940,quaki,117,2,10,568,경북대학교
1941,tjddbs992,142,1,10,572,경북대학교
1942,jph04135,344,1,10,516,경북대학교
1943,ian6610,109,2,10,557,경북대학교
1944,lemonada,164,2,10,532,경북대학교
1945,mjjin1214,78,0,10,619,경북대학교
1946,meeso0601,210,2,10,511,경북대학교
1947,dongsu108,140,2,10,528,경북대학교
1948,wnsgh4089,209,2,10,502,경북대학교
1949,agent,136,2,10,521,경북대학교
1950,dbelse,157,1,10,536,경북대학교
1951,kkohma,100,1,9,552,경북대학교
1952,qurare,109,2,9,521,경북대학교
1953,buddy427,119,2,9,514,경북대학교
1954,dlsdud04,133,2,9,500,경북대학교
1955,kth1210_swift,96,2,9,512,경북대학교
1956,rudxo007,129,1,9,516,경북대학교
1957,jwc0507,89,1,9,535,경북대학교
1958,okey0127,121,2,9,488,경북대학교
1959,ghaeun1009,132,2,9,475,경북대학교
1960,yghqwer,76,2,9,502,경북대학교
1961,choiyhking,103,2,9,484,경북대학교
1962,dk99521,87,0,9,543,경북대학교
1963,happydog145,147,2,9,462,경북대학교
1964,hws2008,103,1,9,507,경북대학교
1965,whitedev7773,135,2,9,449,경북대학교
1966,saystar1320,118,2,9,452,경북대학교
1967,wodnd125,129,2,9,446,경북대학교
1968,jysaa5,125,1,9,464,경북대학교
1969,yejin9989,106,1,9,472,경북대학교
1970,kjh0012024,96,2,9,446,경북대학교
1971,nara1030,91,2,9,447,경북대학교
1972,wksgo123,84,0,9,497,경북대학교
1973,leaf134,86,1,9,469,경북대학교
1974,kychan05,112,2,9,427,경북대학교
1975,jhb607,118,2,9,423,경북대학교
1976,rhkr9609,103,2,9,424,경북대학교
1977,wldnd128,120,1,9,434,경북대학교
1978,sndi123456789,49,3,9,399,경북대학교
1979,wjs2063,50,0,9,492,경북대학교
1980,wodbs3914,126,1,9,421,경북대학교
1981,qerogram,147,1,9,410,경북대학교
1982,jyj0816,166,1,9,398,경북대학교
1983,th7386,138,1,9,409,경북대학교
1984,ysh980101,92,1,9,431,경북대학교
1985,hanjae98,80,1,9,429,경북대학교
1986,kdh1477,94,1,9,414,경북대학교
1987,dhtjs1123,45,0,9,469,경북대학교
1988,osll0,143,1,8,384,경북대학교
1989,ideasidus,109,2,8,363,경북대학교
1990,fermatas,112,1,8,379,경북대학교
1991,nsce9806q,83,1,8,390,경북대학교
1992,cheu03,79,1,8,383,경북대학교
1993,zoanna,54,0,8,423,경북대학교
1994,haaselia,124,1,8,357,경북대학교
1995,boban123,120,2,8,333,경북대학교
1996,vpdbbb,88,1,8,371,경북대학교
1997,kga0416,71,1,8,378,경북대학교
1998,ko97030877,451,1,8,270,경북대학교
1999,crazy,101,1,8,354,경북대학교
2000,jisualien0820,101,2,8,326,경북대학교
2001,tmdrl0160,49,0,8,404,경북대학교
2002,wovy0601,127,1,8,330,경북대학교
2003,ktaeuk123,94,2,8,319,경북대학교
2004,onething42,92,2,8,319,경북대학교
2005,dnjsrl132,102,1,8,330,경북대학교
2006,i_hate_mint,100,1,8,326,경북대학교
2007,yh08037,89,1,8,332,경북대학교
2008,wsl2918,65,1,8,342,경북대학교
2009,tgds03,55,0,8,366,경북대학교
2010,hahyesung,102,1,7,300,경북대학교
2011,gksfka12,88,1,7,307,경북대학교
2012,hyunu_js,94,1,7,301,경북대학교
2013,makao135,94,1,7,301,경북대학교
2014,ja03129,35,0,7,358,경북대학교
2015,tpwls4279,94,1,7,292,경북대학교
2016,dhraudwn,78,1,7,293,경북대학교
2017,rkdckdaud12,96,1,7,272,경북대학교
2018,gangwon22,75,1,7,280,경북대학교
2019,coding2020,83,1,7,264,경북대학교
2020,wjdqh6544,98,1,7,256,경북대학교
2021,sioniasak,97,1,7,255,경북대학교
2022,gmlwhd2092,69,1,7,266,경북대학교
2023,cpyy5526,50,2,7,244,경북대학교
2024,woojin2754,92,1,7,240,경북대학교
2025,tlsthr3390,43,2,7,245,경북대학교
2026,lee01042000,39,0,7,289,경북대학교
2027,himodu0828,51,2,7,223,경북대학교
2028,fkausrndanf,44,0,7,276,경북대학교
2029,jak2899,64,2,7,206,경북대학교
2030,wonski1202,60,1,7,233,경북대학교
2031,chleotn26,57,0,7,258,경북대학교
2032,thdtnals8,65,1,7,227,경북대학교
2033,heejeong2993,61,1,6,225,경북대학교
2034,dmsrud1218,66,1,6,210,경북대학교
2035,cmk0653,78,1,6,194,경북대학교
2036,rew0316,58,1,6,207,경북대학교
2037,ddongdog1117,66,1,6,201,경북대학교
2038,asdf1815,71,1,6,196,경북대학교
2039,kangcs1123,67,1,6,198,경북대학교
2040,skrud1006,37,0,6,242,경북대학교
2041,guy021898,55,1,6,199,경북대학교
2042,qjaeh28,67,1,6,183,경북대학교
2043,cjyglory,65,1,6,176,경북대학교
2044,kwon0408,66,1,6,173,경북대학교
2045,hillary356,64,1,6,173,경북대학교
2046,yang4802,65,1,6,169,경북대학교
2047,dj4769,62,1,6,168,경북대학교
2048,njh8831,67,1,6,164,경북대학교
2049,zini9405,69,1,6,158,경북대학교
2050,ioohyou,67,1,6,156,경북대학교
2051,sa03134,58,1,6,159,경북대학교
2052,bmj7474,58,1,6,158,경북대학교
2053,jeon0640,60,1,6,155,경북대학교
2054,noq100,62,1,6,153,경북대학교
2055,gdk9609,60,1,6,153,경북대학교
2056,ly7689,59,1,6,145,경북대학교
2057,yoooooo,39,0,6,182,경북대학교
2058,dltkdwo31,52,2,6,121,경북대학교
2059,lisal17,64,1,6,138,경북대학교
2060,gci28267,30,0,6,185,경북대학교
2061,mojito,55,1,6,142,경북대학교
2062,rmsqhd2,64,1,6,135,경북대학교
2063,jnikem,54,1,6,140,경북대학교
2064,purple_sunflower,63,1,6,134,경북대학교
2065,cce2023,62,1,6,131,경북대학교
2066,zester926,43,1,6,144,경북대학교
2067,kxm010122,62,1,6,128,경북대학교
2068,stb1436,36,1,6,146,경북대학교
2069,ruby2019,30,0,5,174,경북대학교
2070,dka07,57,1,5,129,경북대학교
2071,esuesu,64,1,5,120,경북대학교
2072,trivial0311,44,0,5,151,경북대학교
2073,dooongkyu,40,0,5,153,경북대학교
2074,shinkoh98,58,1,5,116,경북대학교
2075,aass4856,52,1,5,119,경북대학교
2076,hyunu_dev,33,1,5,131,경북대학교
2077,sehxxxx,45,1,5,119,경북대학교
2078,dbwjds22,48,1,5,113,경북대학교
2079,ljj2559,23,0,5,154,경북대학교
2080,hun340312,40,0,5,138,경북대학교
2081,psy_chopath,54,1,5,103,경북대학교
2082,guestzeroone,43,1,5,107,경북대학교
2083,woowoo982,53,1,5,100,경북대학교
2084,yg2831,45,1,5,103,경북대학교
2085,tjrgus0703,27,0,5,140,경북대학교
2086,dhhae1120,25,0,5,137,경북대학교
2087,creambread,50,1,5,91,경북대학교
2088,jaewoo1218,19,0,5,137,경북대학교
2089,wnsgud0423,43,1,4,88,경북대학교
2090,trust991204,34,1,4,91,경북대학교
2091,dc143c,40,1,4,84,경북대학교
2092,hmyseoo45,44,1,4,80,경북대학교
2093,ksh007,13,0,4,127,경북대학교
2094,codingdragon123,46,1,4,75,경북대학교
2095,suhbokeon,48,1,4,74,경북대학교
2096,stommy23,42,1,4,77,경북대학교
2097,lduck2001,46,1,4,70,경북대학교
2098,qed95513,42,1,4,72,경북대학교
2099,baxkspace,18,0,4,114,경북대학교
2100,bina1215,41,1,4,70,경북대학교
2101,sam56903,41,1,4,69,경북대학교
2102,skhnpark,42,1,4,68,경북대학교
2103,sub09065,41,1,4,67,경북대학교
2104,jason803,24,0,4,104,경북대학교
2105,dlsgudrpdla,11,0,4,114,경북대학교
2106,syhbong9,23,0,4,103,경북대학교
2107,babjaaa,18,0,4,106,경북대학교
2108,jusak,40,1,3,61,경북대학교
2109,wlgud3936,27,0,3,89,경북대학교
2110,5qjsalsdn,28,1,3,57,경북대학교
2111,dnwns0933,34,1,3,53,경북대학교
2112,ennes333,34,1,3,52,경북대학교
2113,hyeonsu0,32,1,3,53,경북대학교
2114,wificat,36,1,3,50,경북대학교
2115,daehokwonforc,34,1,3,46,경북대학교
2116,conanz120,19,0,3,81,경북대학교
2117,connchip18,28,0,3,73,경북대학교
2118,eyrt6973_cpp,15,0,3,82,경북대학교
2119,msiofy980,20,0,3,75,경북대학교
2120,noyusu,25,0,3,69,경북대학교
2121,kbw5913,33,1,2,36,경북대학교
2122,kjh47345,12,0,2,75,경북대학교
2123,octopuslee,29,1,2,36,경북대학교
2124,bublman3375,29,0,2,55,경북대학교
2125,barahana10,23,0,2,56,경북대학교
2126,lsyleg,23,0,2,55,경북대학교
2127,dbwls1431,19,0,2,48,경북대학교
2128,dnstjdwjs,12,0,2,51,경북대학교
2129,wdknu2022,22,0,2,43,경북대학교
2130,ungdeong,21,0,1,42,경북대학교
2131,123rudgks,22,0,1,39,경북대학교
2132,nsshow1996,16,0,1,42,경북대학교
2133,csj6552,22,0,1,34,경북대학교
2134,bjj2373,15,0,1,37,경북대학교
2135,wnsdn2186,9,0,1,40,경북대학교
2136,dimtakt,22,0,1,29,경북대학교
2137,shindd,5,0,1,43,경북대학교
2138,a_hyun,7,0,1,40,경북대학교
2139,minj2913,15,0,1,33,경북대학교
2140,tkddhks560,19,0,1,30,경북대학교
2141,trdcc77,5,0,1,35,경북대학교
2142,anakin0012,6,0,1,32,경북대학교
2143,yoobi,10,0,1,28,경북대학교
2144,dubuji12,18,0,1,21,경북대학교
2145,kimkitkat4523,11,0,1,24,경북대학교
2146,chaerin230,16,0,1,18,경북대학교
2147,gradatim,5,0,1,26,경북대학교
2148,thisisjanghoon,13,0,1,19,경북대학교
2149,light0811,16,0,0,16,경북대학교
2150,mokyoungmo,13,0,0,15,경북대학교
2151,jin_void1,2,0,0,23,경북대학교
2152,ehdnjs5773,10,0,0,14,경북대학교
2153,yroot,9,0,0,12,경북대학교
2154,kei1357,8,0,0,12,경북대학교
2155,31lie,2,0,0,16,경북대학교
2156,oute1001,2,0,0,16,경북대학교
2157,ddop,8,0,0,8,경북대학교
2158,kyeongho0527,7,0,0,9,경북대학교
2159,unm2649,8,0,0,8,경북대학교
2160,kimnawon1,2,0,0,12,경북대학교
2161,harp3133t,6,0,0,7,경북대학교
2162,softkleenex,1,0,0,9,경북대학교
2163,giantods,5,0,0,5,경북대학교
2164,jby8000,5,0,0,5,경북대학교
2165,hassium07039,4,0,0,4,경북대학교
2166,ehdrb103,3,0,0,3,경북대학교
2167,purang2,2,0,0,3,경북대학교
2168,oo11oe,1,0,0,1,경북대학교
2169,ty021026,1,0,0,1,경북대학교
2170,wnanffjd,1,0,0,1,경북대학교
2171,cmjgx7,408,0,0,0,경북대학교
2172,heart20021010,361,0,0,0,경북대학교
2173,koo001602,0,0,0,0,경북대학교
2174,millabong,123,0,0,0,경북대학교
2175,mw9911,615,0,0,0,경북대학교
2176,rlldhks0543,0,0,0,0,경북대학교
2177,ufo9912,12,0,0,0,경북대학교
2178,vkdldjvkdnj,3376,10,30,2529,경상국립대학교
2179,calcifer,502,8,24,2131,경상국립대학교
2180,meos,885,6,21,1886,경상국립대학교
2181,oxoo2m,551,6,19,1671,경상국립대학교
2182,tjwjdgjs22,803,5,19,1681,경상국립대학교
2183,circlezer0,710,6,19,1629,경상국립대학교
2184,ksh021144,1298,5,19,1654,경상국립대학교
2185,sunhong,1759,5,18,1559,경상국립대학교
2186,ldu2175,550,6,18,1545,경상국립대학교
2187,suho2718,742,5,17,1406,경상국립대학교
2188,lovepple2534,957,5,16,1336,경상국립대학교
2189,park03851,582,4,16,1387,경상국립대학교
2190,joystic1234,516,5,16,1328,경상국립대학교
2191,ahsahs3,512,3,16,1407,경상국립대학교
2192,skaduddn,320,4,16,1376,경상국립대학교
2193,rhdiddl9406,388,5,16,1293,경상국립대학교
2194,bds193,394,4,16,1355,경상국립대학교
2195,dnfnfn14,581,5,16,1281,경상국립대학교
2196,wjdchs0129,494,4,16,1327,경상국립대학교
2197,mamy4938,482,5,16,1262,경상국립대학교
2198,minyo0119,594,4,16,1304,경상국립대학교
2199,kws7327,400,4,15,1238,경상국립대학교
2200,baserpong,1152,4,15,1209,경상국립대학교
2201,ghtjd8264,402,4,15,1217,경상국립대학교
2202,tbvjdkrak9,737,4,15,1198,경상국립대학교
2203,dlrudwo4685,422,4,15,1204,경상국립대학교
2204,filper,172,4,15,1211,경상국립대학교
2205,sjs4126,406,4,15,1155,경상국립대학교
2206,abcde093,274,4,15,1175,경상국립대학교
2207,eunsun5460,290,3,15,1185,경상국립대학교
2208,coren10,350,4,15,1111,경상국립대학교
2209,dkswodnjs3,258,4,15,1123,경상국립대학교
2210,neomind75,846,4,15,1078,경상국립대학교
2211,wheelsonthebus71,314,4,14,1090,경상국립대학교
2212,taechacode,407,4,14,1061,경상국립대학교
2213,youngjae459,309,4,14,1064,경상국립대학교
2214,ss7ssy,394,4,14,1037,경상국립대학교
2215,wjs_5025,313,3,14,1058,경상국립대학교
2216,gksquf1269,929,3,14,1010,경상국립대학교
2217,maisep,159,5,14,975,경상국립대학교
2218,natanine,200,1,14,1122,경상국립대학교
2219,freekyr7529,185,2,14,1101,경상국립대학교
2220,7533ymh,296,3,13,1005,경상국립대학교
2221,ymkwon3,234,4,13,968,경상국립대학교
2222,jungim7490,215,3,13,1020,경상국립대학교
2223,dohee,181,3,13,1021,경상국립대학교
2224,redniche,176,1,13,1065,경상국립대학교
2225,hatchling13,507,3,13,923,경상국립대학교
2226,gmelan,241,1,13,1033,경상국립대학교
2227,bjh7536,188,4,13,923,경상국립대학교
2228,jgiraffe,260,3,13,937,경상국립대학교
2229,odu3971,270,3,13,929,경상국립대학교
2230,pig052656,204,3,13,931,경상국립대학교
2231,hong0002,558,3,13,875,경상국립대학교
2232,kung0615,220,3,13,907,경상국립대학교
2233,ljhyun0821,117,4,13,893,경상국립대학교
2234,ehdrjf337,159,1,13,994,경상국립대학교
2235,nmedt,217,3,12,874,경상국립대학교
2236,qor0530,199,3,12,872,경상국립대학교
2237,uk2465,245,2,12,903,경상국립대학교
2238,alstmd0655,284,3,12,840,경상국립대학교
2239,tmddnjs3369,264,3,12,844,경상국립대학교
2240,mon08290,157,3,12,868,경상국립대학교
2241,yusabari,197,3,12,846,경상국립대학교
2242,alsrb9936,207,2,12,855,경상국립대학교
2243,chyoung118,226,3,12,796,경상국립대학교
2244,dofury,227,3,12,785,경상국립대학교
2245,thumbb,238,2,12,818,경상국립대학교
2246,ghlee0714,102,0,12,912,경상국립대학교
2247,tlathgnl123,123,2,12,849,경상국립대학교
2248,dev_ung,132,3,12,788,경상국립대학교
2249,pomme007,262,2,12,791,경상국립대학교
2250,tghmjj,241,3,11,715,경상국립대학교
2251,shh906,206,2,11,764,경상국립대학교
2252,thduf0623,94,4,11,709,경상국립대학교
2253,ghkd3531,168,3,11,711,경상국립대학교
2254,deho0701,186,2,11,752,경상국립대학교
2255,hwimori,782,2,11,679,경상국립대학교
2256,wogh7572,215,2,11,733,경상국립대학교
2257,skymoon28,339,2,11,672,경상국립대학교
2258,uyt485,175,2,11,709,경상국립대학교
2259,nc9385,129,3,11,677,경상국립대학교
2260,dongho18,142,2,11,716,경상국립대학교
2261,bassy3260,204,2,11,689,경상국립대학교
2262,realmoritongyi,102,0,11,779,경상국립대학교
2263,sin1216,199,2,11,683,경상국립대학교
2264,ys2lee,192,3,11,617,경상국립대학교
2265,daramgya,198,2,11,662,경상국립대학교
2266,ey6699,143,1,11,706,경상국립대학교
2267,hu6122,262,2,11,628,경상국립대학교
2268,blzzide,147,1,11,685,경상국립대학교
2269,dmswk263,93,0,10,727,경상국립대학교
2270,vvipson,94,4,10,546,경상국립대학교
2271,blpeng2,142,1,10,632,경상국립대학교
2272,tbs01215,96,3,10,566,경상국립대학교
2273,eunchae619,104,3,10,548,경상국립대학교
2274,demo3909,200,2,10,542,경상국립대학교
2275,bera,91,2,10,588,경상국립대학교
2276,syeol1021,171,2,10,536,경상국립대학교
2277,ldy7276,110,3,10,499,경상국립대학교
2278,jmp7911,107,1,10,574,경상국립대학교
2279,bluecube,127,2,10,528,경상국립대학교
2280,ssshhhh1,160,2,10,509,경상국립대학교
2281,yh4896,110,2,10,530,경상국립대학교
2282,lch0967,141,2,10,514,경상국립대학교
2283,cromtical,96,1,10,560,경상국립대학교
2284,alsrud5527,101,1,9,524,경상국립대학교
2285,mgo8434,117,2,9,477,경상국립대학교
2286,djstmd99,132,2,9,455,경상국립대학교
2287,cclang,91,2,9,471,경상국립대학교
2288,ksw4811,122,2,9,451,경상국립대학교
2289,i_hate_cs,128,2,9,444,경상국립대학교
2290,cyk7800,161,1,9,445,경상국립대학교
2291,tmdtls99,86,2,9,455,경상국립대학교
2292,jieun0711,132,2,9,409,경상국립대학교
2293,espresso024,183,1,9,382,경상국립대학교
2294,zzzzzooooo0000099999,137,2,8,361,경상국립대학교
2295,shh2849,136,2,8,358,경상국립대학교
2296,gh7052,123,1,8,377,경상국립대학교
2297,moosung55,95,2,8,363,경상국립대학교
2298,rhdwhddnr,125,1,8,373,경상국립대학교
2299,myeongcheol,107,2,8,349,경상국립대학교
2300,insung1412,115,1,8,339,경상국립대학교
2301,rkdals6806,114,1,8,339,경상국립대학교
2302,unsagaxma,119,1,8,324,경상국립대학교
2303,wncjf2000,63,2,8,321,경상국립대학교
2304,ouoofo,95,1,7,298,경상국립대학교
2305,wj0074,70,2,7,250,경상국립대학교
2306,okcoco03,73,1,7,263,경상국립대학교
2307,air20003766,86,2,7,221,경상국립대학교
2308,gijun0410,84,1,7,239,경상국립대학교
2309,mtslzx,82,1,7,230,경상국립대학교
2310,id0311sw,91,1,7,224,경상국립대학교
2311,rnjstksaor,61,1,7,229,경상국립대학교
2312,chl4832,68,1,6,216,경상국립대학교
2313,ehdgns4025,72,1,6,212,경상국립대학교
2314,nerino5885,73,1,6,209,경상국립대학교
2315,serpongs,66,1,6,214,경상국립대학교
2316,98hhjoo,63,1,6,212,경상국립대학교
2317,ldgcandoit,65,1,6,198,경상국립대학교
2318,lemonsuttle,55,1,6,204,경상국립대학교
2319,jyh4282002,58,1,6,187,경상국립대학교
2320,jydg2541,76,1,6,172,경상국립대학교
2321,jhpmk020,71,1,6,171,경상국립대학교
2322,avs_won,74,1,6,167,경상국립대학교
2323,microband,40,0,6,201,경상국립대학교
2324,wogajang22,61,1,6,162,경상국립대학교
2325,chamch135,67,1,6,150,경상국립대학교
2326,fifaon3,53,1,5,132,경상국립대학교
2327,across0406,52,1,5,125,경상국립대학교
2328,rudwo4685,49,1,5,127,경상국립대학교
2329,slfflfldk03,57,1,5,111,경상국립대학교
2330,jgj0117,52,1,5,111,경상국립대학교
2331,rteo,54,1,5,106,경상국립대학교
2332,jhyuk919,52,1,5,97,경상국립대학교
2333,dbdjwls3137,48,1,5,95,경상국립대학교
2334,ancient1324,49,1,5,88,경상국립대학교
2335,gogo5896544,38,0,4,94,경상국립대학교
2336,bossid001,36,1,3,58,경상국립대학교
2337,gkgkwodjs,36,1,3,51,경상국립대학교
2338,ecstatichs,32,1,3,42,경상국립대학교
2339,jsh8880,29,1,2,37,경상국립대학교
2340,wnsdl1010200,13,0,2,71,경상국립대학교
2341,blpeng_py,17,0,2,59,경상국립대학교
2342,kangeun3222,28,0,2,47,경상국립대학교
2343,tlr5054,27,0,2,47,경상국립대학교
2344,enrichir97,23,0,2,47,경상국립대학교
2345,inverter,11,0,2,51,경상국립대학교
2346,wodud3525,14,0,2,48,경상국립대학교
2347,logjs,27,0,1,36,경상국립대학교
2348,janrosse,25,0,1,36,경상국립대학교
2349,yjh14725,16,0,1,42,경상국립대학교
2350,seoxuni,24,0,1,31,경상국립대학교
2351,gbw1011,23,0,1,31,경상국립대학교
2352,ysm0904,21,0,1,28,경상국립대학교
2353,id5249,10,0,1,31,경상국립대학교
2354,aszx123456r,11,0,1,26,경상국립대학교
2355,dusgh2004,9,0,0,21,경상국립대학교
2356,dbsgyqls1218,9,0,0,15,경상국립대학교
2357,sleehs98,8,0,0,12,경상국립대학교
2358,namoluah,5,0,0,12,경상국립대학교
2359,ehdwns2085,8,0,0,8,경상국립대학교
2360,mo7004,3,0,0,12,경상국립대학교
2361,allday_nolgosipda,5,0,0,5,경상국립대학교
2362,luslec15,2,0,0,6,경상국립대학교
2363,overnap,994,9,25,2231,경희대학교
2364,jwpassion1,1254,9,25,2215,경희대학교
2365,thak00,1811,8,25,2207,경희대학교
2366,penguin1234,967,8,24,2097,경희대학교
2367,sendol,704,7,22,1930,경희대학교
2368,mathdong01,876,6,22,1946,경희대학교
2369,train0113,933,6,22,1917,경희대학교
2370,world9969,2768,7,22,1897,경희대학교
2371,brother,475,5,21,1895,경희대학교
2372,enopid,509,7,21,1861,경희대학교
2373,infikei,2365,6,21,1843,경희대학교
2374,dbgusdn012,2341,6,21,1833,경희대학교
2375,peter0708,860,7,21,1846,경희대학교
2376,ywoosang,736,7,21,1817,경희대학교
2377,corncheese,453,7,21,1828,경희대학교
2378,kimh060612,732,6,21,1811,경희대학교
2379,2468ab,758,6,20,1779,경희대학교
2380,ness9917,598,7,20,1757,경희대학교
2381,hithere314,3146,6,20,1735,경희대학교
2382,yyyy7089,1568,5,20,1718,경희대학교
2383,dodobow,1142,5,19,1652,경희대학교
2384,asdfgh0986,538,5,19,1671,경희대학교
2385,hazxz,747,5,19,1662,경희대학교
2386,jinsub1999,847,6,19,1622,경희대학교
2387,yunobo,390,6,19,1620,경희대학교
2388,gyuho965,1247,5,18,1566,경희대학교
2389,kangkh0906,949,5,18,1540,경희대학교
2390,dbsgk32,561,6,18,1533,경희대학교
2391,tnqls5417,645,6,18,1551,경희대학교
2392,rlaqjawnd625,757,5,18,1528,경희대학교
2393,ystc1247,574,5,18,1548,경희대학교
2394,xpsxm468,750,5,17,1497,경희대학교
2395,asdsa2134,714,5,17,1493,경희대학교
2396,Swote,274,6,17,1497,경희대학교
2397,gksqlsl11,972,5,17,1474,경희대학교
2398,1000chw,407,5,17,1495,경희대학교
2399,paraeism,838,5,17,1435,경희대학교
2400,dldusgkr788,782,5,17,1442,경희대학교
2401,evade,1198,5,17,1432,경희대학교
2402,bgoodsamari,553,5,17,1463,경희대학교
2403,minseo41,493,5,17,1442,경희대학교
2404,mintyu,421,5,17,1467,경희대학교
2405,qjatjr29,758,5,17,1447,경희대학교
2406,love4rg,240,3,17,1584,경희대학교
2407,seongside,464,4,17,1479,경희대학교
2408,gyeonga,967,5,17,1417,경희대학교
2409,ibd1229,629,5,17,1415,경희대학교
2410,jengdeuk,587,5,17,1394,경희대학교
2411,nailbrainz,262,0,17,1647,경희대학교
2412,rokkyw,781,4,17,1444,경희대학교
2413,tjdqo0788,444,5,17,1405,경희대학교
2414,unhappydogchew,370,5,17,1397,경희대학교
2415,yuu3730,378,5,17,1392,경희대학교
2416,kst54252,373,5,17,1380,경희대학교
2417,djigfox,657,5,16,1380,경희대학교
2418,minhwan514,297,6,16,1377,경희대학교
2419,icefalls,771,5,16,1361,경희대학교
2420,lsj0822,907,5,16,1328,경희대학교
2421,ghssh1,644,4,16,1375,경희대학교
2422,jhs1oo4,374,5,16,1358,경희대학교
2423,mu08014,321,5,16,1362,경희대학교
2424,apicad0307,399,5,16,1347,경희대학교
2425,junushabi123,316,2,16,1492,경희대학교
2426,rohsikdak,445,4,16,1382,경희대학교
2427,tree0787,459,4,16,1378,경희대학교
2428,yoonjong1820,399,5,16,1333,경희대학교
2429,sacomex32,665,5,16,1308,경희대학교
2430,bluejoyq,319,5,16,1336,경희대학교
2431,splguyjr,392,5,16,1307,경희대학교
2432,wnsdl1659,291,5,16,1340,경희대학교
2433,illyamchi,542,4,16,1357,경희대학교
2434,sat0317,649,4,16,1318,경희대학교
2435,vel1024,401,4,16,1358,경희대학교
2436,yi9353,383,4,16,1359,경희대학교
2437,shinhup4743,577,5,16,1263,경희대학교
2438,rkdgh98,469,4,16,1344,경희대학교
2439,hiasince12,712,4,16,1331,경희대학교
2440,pjkov0824,261,4,16,1365,경희대학교
2441,beauboy,325,5,16,1296,경희대학교
2442,hgsu0806,371,3,16,1388,경희대학교
2443,kim031504,954,4,16,1311,경희대학교
2444,eu2525,316,5,16,1290,경희대학교
2445,kkh115505,664,4,16,1294,경희대학교
2446,hjs12345,393,4,16,1304,경희대학교
2447,sobu0715,578,4,15,1280,경희대학교
2448,yh9468,342,4,15,1295,경희대학교
2449,riverboy94,333,4,15,1292,경희대학교
2450,dnzma13,282,5,15,1251,경희대학교
2451,doit99,483,4,15,1269,경희대학교
2452,leedominico,372,5,15,1224,경희대학교
2453,devtaemin,462,4,15,1262,경희대학교
2454,dangyee,298,4,15,1253,경희대학교
2455,kkj3263,414,4,15,1236,경희대학교
2456,architekt041,196,5,15,1229,경희대학교
2457,ekaqosoato,273,4,15,1258,경희대학교
2458,haram518303,413,4,15,1226,경희대학교
2459,wjdgus3608,353,4,15,1233,경희대학교
2460,yuseungju,367,4,15,1231,경희대학교
2461,rladudqls0302,324,4,15,1234,경희대학교
2462,stone0327,452,4,15,1211,경희대학교
2463,dudgns1239,420,4,15,1213,경희대학교
2464,swa07016,650,4,15,1199,경희대학교
2465,whitesun814,282,4,15,1233,경희대학교
2466,xvsgxv,243,4,15,1237,경희대학교
2467,yoy07030,281,4,15,1228,경희대학교
2468,ghdthd123,657,4,15,1190,경희대학교
2469,oownhi88,227,0,15,1388,경희대학교
2470,rlatmdxo1998,251,4,15,1225,경희대학교
2471,bo314,307,4,15,1211,경희대학교
2472,howlism,541,4,15,1183,경희대학교
2473,juwonju,341,3,15,1253,경희대학교
2474,kgu0515,355,4,15,1199,경희대학교
2475,ty1295,260,4,15,1216,경희대학교
2476,wnrrhtlvsi43,398,4,15,1192,경희대학교
2477,ghdtjdvy7205,230,4,15,1220,경희대학교
2478,heyazoo1007,291,4,15,1206,경희대학교
2479,nova9128,652,3,15,1216,경희대학교
2480,kbpark9898,209,4,15,1216,경희대학교
2481,kimjeongeun,273,4,15,1197,경희대학교
